emoticon,english_translation,arabic_translation
🙆 🏿 ‍ ♀ ️,woman_gesturing_OK_dark_skin_tone,امرأة تشير إلى ما يرام بلون بشرة داكن
🙆 🏻 ‍ ♀ ️,woman_gesturing_OK_light_skin_tone,امرأة تشير إلى ما يرام بشرة فاتحة اللون
🙆 🏾 ‍ ♀ ️,woman_gesturing_OK_medium-dark_skin_tone,امرأة تشير إلى لون بشرة متوسط ​​داكن
🙆 🏼 ‍ ♀ ️,woman_gesturing_OK_medium-light_skin_tone,امرأة تشير بشكل جيد إلى لون بشرة متوسط ​​فاتح
🙆 🏽 ‍ ♀ ️,woman_gesturing_OK_medium_skin_tone,امرأة تشير إلى لون بشرة متوسط
💇 ‍ ♀ ️,woman_getting_haircut,امرأة تقص شعرها
💇 🏿 ‍ ♀ ️,woman_getting_haircut_dark_skin_tone,امرأة تقص شعرها بلون بشرة داكن
💇 🏻 ‍ ♀ ️,woman_getting_haircut_light_skin_tone,امرأة تحصل على قصة شعر بلون بشرة فاتحة
💇 🏾 ‍ ♀ ️,woman_getting_haircut_medium-dark_skin_tone,امرأة تقص شعرها بلون بشرة متوسط ​​داكن
💇 🏼 ‍ ♀ ️,woman_getting_haircut_medium-light_skin_tone,امرأة تقص شعرها بلون بشرة متوسط ​​فاتح
💇 🏽 ‍ ♀ ️,woman_getting_haircut_medium_skin_tone,امرأة تحصل على قصة شعر متوسطة اللون
💆 ‍ ♀ ️,woman_getting_massage,تدليك المرأة
💆 🏿 ‍ ♀ ️,woman_getting_massage_dark_skin_tone,امرأة تحصل على تدليك بلون البشرة الداكن
💆 🏻 ‍ ♀ ️,woman_getting_massage_light_skin_tone,امرأة تحصل على تدليك بلون البشرة الفاتح
💆 🏾 ‍ ♀ ️,woman_getting_massage_medium-dark_skin_tone,امرأة تحصل على تدليك بلون بشرة داكن متوسط
💆 🏼 ‍ ♀ ️,woman_getting_massage_medium-light_skin_tone,امرأة تحصل على تدليك بلون بشرة فاتح متوسط
💆 🏽 ‍ ♀ ️,woman_getting_massage_medium_skin_tone,امرأة تحصل على تدليك بلون بشرة متوسط
🏌 ️ ‍ ♀ ️,woman_golfing,امرأة تلعب الجولف
🏌 🏿 ‍ ♀ ️,woman_golfing_dark_skin_tone,جولف المرأة لهجة البشرة الداكنة
🏌 🏻 ‍ ♀ ️,woman_golfing_light_skin_tone,امرأة جولف لون البشرة الفاتح
🏌 🏾 ‍ ♀ ️,woman_golfing_medium-dark_skin_tone,امرأة تلعب الجولف بلون بشرة متوسط ​​داكن
🏌 🏼 ‍ ♀ ️,woman_golfing_medium-light_skin_tone,رياضة الجولف بلون بشرة متوسط ​​فاتح
🏌 🏽 ‍ ♀ ️,woman_golfing_medium_skin_tone,جولف المرأة متوسطة لون البشرة
💂 ‍ ♀ ️,woman_guard,حارس امراة
💂 🏿 ‍ ♀ ️,woman_guard_dark_skin_tone,حارس امرأة لون البشرة الداكنة
💂 🏻 ‍ ♀ ️,woman_guard_light_skin_tone,حارس المرأة لون البشرة الفاتح
💂 🏾 ‍ ♀ ️,woman_guard_medium-dark_skin_tone,حارس المرأة ذو لون بشرة متوسط ​​داكن
💂 🏼 ‍ ♀ ️,woman_guard_medium-light_skin_tone,حارس امرأة لون بشرة متوسط ​​الفاتح
💂 🏽 ‍ ♀ ️,woman_guard_medium_skin_tone,حارس امرأة متوسط ​​لون البشرة
👩 ‍ ⚕ ️,woman_health_worker,عاملة صحية
👩 🏿 ‍ ⚕ ️,woman_health_worker_dark_skin_tone,عاملة صحية بلون البشرة الداكن
👩 🏻 ‍ ⚕ ️,woman_health_worker_light_skin_tone,عاملة صحية بلون البشرة الفاتح
👩 🏾 ‍ ⚕ ️,woman_health_worker_medium-dark_skin_tone,عاملة صحية بلون بشرة متوسط ​​داكن
👩 🏼 ‍ ⚕ ️,woman_health_worker_medium-light_skin_tone,عاملة صحية متوسطة لون البشرة فاتح
👩 🏽 ‍ ⚕ ️,woman_health_worker_medium_skin_tone,عاملة صحية متوسطة لون البشرة
👩 ‍ ⚖ ️,woman_judge,قاضية
👩 🏿 ‍ ⚖ ️,woman_judge_dark_skin_tone,تحكم امرأة بلون البشرة الداكنة
👩 🏻 ‍ ⚖ ️,woman_judge_light_skin_tone,حكم امرأة فاتحة لون البشرة
👩 🏾 ‍ ⚖ ️,woman_judge_medium-dark_skin_tone,تحكم امرأة بلون بشرة متوسط ​​داكن
👩 🏼 ‍ ⚖ ️,woman_judge_medium-light_skin_tone,تحكم امرأة بلون بشرة متوسط ​​فاتح
👩 🏽 ‍ ⚖ ️,woman_judge_medium_skin_tone,امرأة القاضي متوسط ​​لون البشرة
🤹 ‍ ♀ ️,woman_juggling,شعوذة امرأة
🤹 🏿 ‍ ♀ ️,woman_juggling_dark_skin_tone,امرأة تتلاعب بلون البشرة الداكن
🤹 🏻 ‍ ♀ ️,woman_juggling_light_skin_tone,امرأة شعوذة بلون البشرة الفاتح
🤹 🏾 ‍ ♀ ️,woman_juggling_medium-dark_skin_tone,امرأة تتلاعب بلون بشرة متوسط ​​داكن
🤹 🏼 ‍ ♀ ️,woman_juggling_medium-light_skin_tone,امرأة تتلاعب بلون بشرة متوسط ​​إلى فاتح
🤹 🏽 ‍ ♀ ️,woman_juggling_medium_skin_tone,امرأة شعوذة لون بشرة متوسط
🏋 ️ ‍ ♀ ️,woman_lifting_weights,امرأة ترفع الأثقال
🏋 🏿 ‍ ♀ ️,woman_lifting_weights_dark_skin_tone,امرأة ترفع الأثقال بلون البشرة الداكن
🏋 🏻 ‍ ♀ ️,woman_lifting_weights_light_skin_tone,امرأة رفع الأثقال لون البشرة الفاتح
🏋 🏾 ‍ ♀ ️,woman_lifting_weights_medium-dark_skin_tone,امرأة ترفع الأثقال بلون بشرة متوسط ​​داكن
🏋 🏼 ‍ ♀ ️,woman_lifting_weights_medium-light_skin_tone,امرأة ترفع الأثقال بلون بشرة متوسط ​​فاتح
🏋 🏽 ‍ ♀ ️,woman_lifting_weights_medium_skin_tone,امرأة رفع الأثقال لون بشرة متوسط
👩 🏻,woman_light_skin_tone,امرأة بلون البشرة الفاتح
👩 ‍ 🔧,woman_mechanic,ميكانيكي امرأة
👩 🏿 ‍ 🔧,woman_mechanic_dark_skin_tone,ميكانيكي امرأة لون البشرة الداكنة
👩 🏻 ‍ 🔧,woman_mechanic_light_skin_tone,امرأة ميكانيكي لون البشرة الفاتح
👩 🏾 ‍ 🔧,woman_mechanic_medium-dark_skin_tone,امرأة ميكانيكي بلون بشرة متوسط ​​داكن
👩 🏼 ‍ 🔧,woman_mechanic_medium-light_skin_tone,ميكانيكي لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🔧,woman_mechanic_medium_skin_tone,ميكانيكي امرأة متوسط ​​لون البشرة
👩 🏾,woman_medium-dark_skin_tone,امرأة بشرة ذات لون غامق متوسط
👩 🏼,woman_medium-light_skin_tone,امرأة بشرة متوسطة الفاتحة
👩 🏽,woman_medium_skin_tone,امرأة متوسطة لون البشرة
🚵 ‍ ♀ ️,woman_mountain_biking,امرأة ركوب الدراجات الجبلية
🚵 🏿 ‍ ♀ ️,woman_mountain_biking_dark_skin_tone,امرأة ركوب الدراجات الجبلية بلون البشرة الداكنة
🚵 🏻 ‍ ♀ ️,woman_mountain_biking_light_skin_tone,امرأة ركوب الدراجات الجبلية لون البشرة الفاتح
🚵 🏾 ‍ ♀ ️,woman_mountain_biking_medium-dark_skin_tone,امرأة تركب دراجة في الجبال بلون بشرة داكن متوسط
🚵 🏼 ‍ ♀ ️,woman_mountain_biking_medium-light_skin_tone,امرأة ركوب الدراجات الجبلية لون البشرة الفاتح
🚵 🏽 ‍ ♀ ️,woman_mountain_biking_medium_skin_tone,امرأة ركوب الدراجات الجبلية لون البشرة متوسط
👩 ‍ 💼,woman_office_worker,عاملة مكتب المرأة
👩 🏿 ‍ 💼,woman_office_worker_dark_skin_tone,امرأة عامل مكتب لهجة البشرة الداكنة
👩 🏻 ‍ 💼,woman_office_worker_light_skin_tone,امرأة عامل مكتب لون البشرة الفاتح
👩 🏾 ‍ 💼,woman_office_worker_medium-dark_skin_tone,امرأة عاملة مكتبية بلون بشرة داكن متوسط
👩 🏼 ‍ 💼,woman_office_worker_medium-light_skin_tone,عاملة مكتب متوسطة لون البشرة
👩 🏽 ‍ 💼,woman_office_worker_medium_skin_tone,عاملة مكتب متوسطة لون البشرة
👩 ‍ ✈ ️,woman_pilot,طيار امرأة
👩 🏿 ‍ ✈ ️,woman_pilot_dark_skin_tone,طيار امرأة بشرة داكنة اللون
👩 🏻 ‍ ✈ ️,woman_pilot_light_skin_tone,طيار امرأة لون البشرة الفاتح
👩 🏾 ‍ ✈ ️,woman_pilot_medium-dark_skin_tone,طيار امرأة بلون بشرة داكن متوسط
👩 🏼 ‍ ✈ ️,woman_pilot_medium-light_skin_tone,طيار امرأة لون بشرة متوسط ​​فاتح
👩 🏽 ‍ ✈ ️,woman_pilot_medium_skin_tone,امرأة طيار متوسط ​​لون البشرة
🤾 ‍ ♀ ️,woman_playing_handball,امرأة تلعب كرة اليد
🤾 🏿 ‍ ♀ ️,woman_playing_handball_dark_skin_tone,امرأة تلعب كرة اليد بلون البشرة الداكنة
🤾 🏻 ‍ ♀ ️,woman_playing_handball_light_skin_tone,امرأة تلعب كرة اليد بلون البشرة الفاتح
🤾 🏾 ‍ ♀ ️,woman_playing_handball_medium-dark_skin_tone,امرأة تلعب كرة اليد بلون بشرة داكن متوسط
🤾 🏼 ‍ ♀ ️,woman_playing_handball_medium-light_skin_tone,امرأة تلعب كرة اليد بلون بشرة فاتح متوسط
🤾 🏽 ‍ ♀ ️,woman_playing_handball_medium_skin_tone,امرأة تلعب كرة اليد متوسطة لهجة الجلد
🤽 ‍ ♀ ️,woman_playing_water_polo,امرأة تلعب كرة الماء
🤽 🏿 ‍ ♀ ️,woman_playing_water_polo_dark_skin_tone,امرأة تلعب كرة الماء بلون البشرة الداكن
🤽 🏻 ‍ ♀ ️,woman_playing_water_polo_light_skin_tone,امرأة تلعب كرة الماء بلون بشرة فاتح
🤽 🏾 ‍ ♀ ️,woman_playing_water_polo_medium-dark_skin_tone,امرأة تلعب كرة الماء بلون بشرة داكن متوسط
🤽 🏼 ‍ ♀ ️,woman_playing_water_polo_medium-light_skin_tone,امرأة تلعب كرة الماء بلون بشرة متوسط ​​فاتح
🤽 🏽 ‍ ♀ ️,woman_playing_water_polo_medium_skin_tone,امرأة تلعب كرة الماء متوسط ​​لون البشرة
👮 ‍ ♀ ️,woman_police_officer,ضابطة شرطة
👮 🏿 ‍ ♀ ️,woman_police_officer_dark_skin_tone,امرأة ضابطة شرطة بلون البشرة الداكنة
👮 🏻 ‍ ♀ ️,woman_police_officer_light_skin_tone,ضابطة شرطة بلون البشرة الفاتح
👮 🏾 ‍ ♀ ️,woman_police_officer_medium-dark_skin_tone,ضابطة شرطة بلون بشرة داكن متوسط
👮 🏼 ‍ ♀ ️,woman_police_officer_medium-light_skin_tone,ضابطة شرطة بلون بشرة فاتح متوسط
👮 🏽 ‍ ♀ ️,woman_police_officer_medium_skin_tone,ضابطة شرطة بلون بشرة متوسط
🙎 ‍ ♀ ️,woman_pouting,امرأة عابسة
🙎 🏿 ‍ ♀ ️,woman_pouting_dark_skin_tone,امرأة عابسة لون البشرة الداكنة
🙎 🏻 ‍ ♀ ️,woman_pouting_light_skin_tone,امرأة عابسة لون بشرة فاتحة
🙎 🏾 ‍ ♀ ️,woman_pouting_medium-dark_skin_tone,امرأة عابسة لون بشرة متوسط ​​داكن
🙎 🏼 ‍ ♀ ️,woman_pouting_medium-light_skin_tone,امرأة عابسة لون بشرة متوسط ​​إلى فاتح
🙎 🏽 ‍ ♀ ️,woman_pouting_medium_skin_tone,امرأة عابسة لون بشرة متوسط
🙋 ‍ ♀ ️,woman_raising_hand,امرأة ترفع يدها
🙋 🏿 ‍ ♀ ️,woman_raising_hand_dark_skin_tone,امرأة ترفع يدها بلون البشرة الداكن
🙋 🏻 ‍ ♀ ️,woman_raising_hand_light_skin_tone,امرأة ترفع يدها بلون البشرة الفاتح
🙋 🏾 ‍ ♀ ️,woman_raising_hand_medium-dark_skin_tone,امرأة ترفع يدها بلون بشرة داكن متوسط
🙋 🏼 ‍ ♀ ️,woman_raising_hand_medium-light_skin_tone,امرأة ترفع يدها بلون بشرة فاتح متوسط
🙋 🏽 ‍ ♀ ️,woman_raising_hand_medium_skin_tone,امرأة ترفع يدها بلون بشرة متوسط
🚣 ‍ ♀ ️,woman_rowing_boat,امرأة تجدف بالقارب
🚣 🏿 ‍ ♀ ️,woman_rowing_boat_dark_skin_tone,امرأة تجدف قارب بلون البشرة الداكن
🚣 🏻 ‍ ♀ ️,woman_rowing_boat_light_skin_tone,امرأة تجدف قارب بلون البشرة الفاتح
🚣 🏾 ‍ ♀ ️,woman_rowing_boat_medium-dark_skin_tone,امرأة تجدف على قارب بلون بشرة متوسط ​​داكن
🚣 🏼 ‍ ♀ ️,woman_rowing_boat_medium-light_skin_tone,امرأة تجدف بقارب بلون بشرة متوسط ​​فاتح
🚣 🏽 ‍ ♀ ️,woman_rowing_boat_medium_skin_tone,امرأة تجدف قارب متوسط ​​لون البشرة
🏃 ‍ ♀ ️,woman_running,امرأة تعمل
🏃 🏿 ‍ ♀ ️,woman_running_dark_skin_tone,امرأة تعمل بلون البشرة الداكنة
🏃 🏻 ‍ ♀ ️,woman_running_light_skin_tone,امرأة تعمل بلون بشرة فاتحة
🏃 🏾 ‍ ♀ ️,woman_running_medium-dark_skin_tone,امرأة تعمل بلون بشرة داكن متوسط
🏃 🏼 ‍ ♀ ️,woman_running_medium-light_skin_tone,امرأة تعمل بلون بشرة متوسط ​​الفاتح
🏃 🏽 ‍ ♀ ️,woman_running_medium_skin_tone,امرأة تعمل بلون بشرة متوسط
👩 ‍ 🔬,woman_scientist,عالمة
👩 🏿 ‍ 🔬,woman_scientist_dark_skin_tone,عالمة لون البشرة الداكنة
👩 🏻 ‍ 🔬,woman_scientist_light_skin_tone,امرأة عالمة لون البشرة الفاتح
👩 🏾 ‍ 🔬,woman_scientist_medium-dark_skin_tone,عالمة لون بشرة متوسط ​​داكن
👩 🏼 ‍ 🔬,woman_scientist_medium-light_skin_tone,عالمة لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🔬,woman_scientist_medium_skin_tone,عالمة لون بشرة متوسط
🤷 ‍ ♀ ️,woman_shrugging,امرأة تهز كتفيها
🤷 🏿 ‍ ♀ ️,woman_shrugging_dark_skin_tone,امرأة تتجاهل لون البشرة الداكن
🤷 🏻 ‍ ♀ ️,woman_shrugging_light_skin_tone,امرأة تتجاهل لون بشرتها الفاتح
🤷 🏾 ‍ ♀ ️,woman_shrugging_medium-dark_skin_tone,امرأة تتجاهل لون بشرة متوسط ​​داكن
🤷 🏼 ‍ ♀ ️,woman_shrugging_medium-light_skin_tone,امرأة تتجاهل لون البشرة المتوسط ​​الفاتح
🤷 🏽 ‍ ♀ ️,woman_shrugging_medium_skin_tone,امرأة تتجاهل لون بشرة متوسط
👩 ‍ 🎤,woman_singer,مغنية
👩 🏿 ‍ 🎤,woman_singer_dark_skin_tone,مغنية ذات بشرة داكنة
👩 🏻 ‍ 🎤,woman_singer_light_skin_tone,مغنية بلون البشرة الفاتح
👩 🏾 ‍ 🎤,woman_singer_medium-dark_skin_tone,مغنية بلون بشرة متوسط ​​داكن
👩 🏼 ‍ 🎤,woman_singer_medium-light_skin_tone,مغنية بلون بشرة متوسط ​​الفاتح
👩 🏽 ‍ 🎤,woman_singer_medium_skin_tone,مغنية متوسطة لون البشرة
👩 ‍ 🎓,woman_student,طالبة
👩 🏿 ‍ 🎓,woman_student_dark_skin_tone,طالبة بشرة داكنة اللون
👩 🏻 ‍ 🎓,woman_student_light_skin_tone,طالبة بلون البشرة الفاتح
👩 🏾 ‍ 🎓,woman_student_medium-dark_skin_tone,طالبة بلون بشرة متوسط ​​داكن
👩 🏼 ‍ 🎓,woman_student_medium-light_skin_tone,طالبة بلون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🎓,woman_student_medium_skin_tone,طالبة متوسط ​​لون البشرة
🏄 ‍ ♀ ️,woman_surfing,امرأة تتزلج على الأمواج
🏄 🏿 ‍ ♀ ️,woman_surfing_dark_skin_tone,امرأة تتصفح لون البشرة الداكنة
🏄 🏻 ‍ ♀ ️,woman_surfing_light_skin_tone,امرأة تصفح لون البشرة الفاتح
🏄 🏾 ‍ ♀ ️,woman_surfing_medium-dark_skin_tone,امرأة تتزلج على الماء بلون بشرة متوسط ​​داكن
🏄 🏼 ‍ ♀ ️,woman_surfing_medium-light_skin_tone,امرأة تتصفح لون بشرة متوسط ​​الفاتح
🏄 🏽 ‍ ♀ ️,woman_surfing_medium_skin_tone,امرأة تتصفح لون بشرة متوسط
🏊 ‍ ♀ ️,woman_swimming,امرأة تسبح
🏊 🏿 ‍ ♀ ️,woman_swimming_dark_skin_tone,امرأة تسبح بلون البشرة الداكن
🏊 🏻 ‍ ♀ ️,woman_swimming_light_skin_tone,امرأة تسبح بلون البشرة الفاتح
🏊 🏾 ‍ ♀ ️,woman_swimming_medium-dark_skin_tone,امرأة تسبح بلون بشرة داكن متوسط
🏊 🏼 ‍ ♀ ️,woman_swimming_medium-light_skin_tone,امرأة تسبح بلون بشرة فاتح متوسط
🏊 🏽 ‍ ♀ ️,woman_swimming_medium_skin_tone,السباحة امرأة متوسطة لون البشرة
👩 ‍ 🏫,woman_teacher,معلمة
👩 🏿 ‍ 🏫,woman_teacher_dark_skin_tone,المعلم امرأة لون البشرة الداكنة
👩 🏻 ‍ 🏫,woman_teacher_light_skin_tone,معلمة لون البشرة الفاتح
👩 🏾 ‍ 🏫,woman_teacher_medium-dark_skin_tone,معلمة بلون بشرة داكن متوسط
👩 🏼 ‍ 🏫,woman_teacher_medium-light_skin_tone,معلمة لون بشرة متوسط ​​فاتح
👩 🏽 ‍ 🏫,woman_teacher_medium_skin_tone,معلمة متوسطة لون البشرة
👩 ‍ 💻,woman_technologist,تقني
👩 🏿 ‍ 💻,woman_technologist_dark_skin_tone,تقني بشرة داكنة اللون
👩 🏻 ‍ 💻,woman_technologist_light_skin_tone,تقني بشرة فاتحة اللون
👩 🏾 ‍ 💻,woman_technologist_medium-dark_skin_tone,تقني بشرة بلون متوسط ​​داكن
👩 🏼 ‍ 💻,woman_technologist_medium-light_skin_tone,تقنية بشرة ذات لون فاتح متوسط
👩 🏽 ‍ 💻,woman_technologist_medium_skin_tone,امرأة تقني لون بشرة متوسط
💁 ‍ ♀ ️,woman_tipping_hand,امرأة ترفع يدها
💁 🏿 ‍ ♀ ️,woman_tipping_hand_dark_skin_tone,امرأة تميل يدها بلون البشرة الداكنة
💁 🏻 ‍ ♀ ️,woman_tipping_hand_light_skin_tone,امرأة تلميح اليد لهجة البشرة الفاتحة
💁 🏾 ‍ ♀ ️,woman_tipping_hand_medium-dark_skin_tone,امرأة تميل يدها إلى لون بشرة داكن متوسط
💁 🏼 ‍ ♀ ️,woman_tipping_hand_medium-light_skin_tone,امرأة تقلب يدها لون بشرة متوسط ​​فاتح
💁 🏽 ‍ ♀ ️,woman_tipping_hand_medium_skin_tone,امرأة تميل يدها لون بشرة متوسط
🚶 ‍ ♀ ️,woman_walking,امرأة تمشي
🚶 🏿 ‍ ♀ ️,woman_walking_dark_skin_tone,امرأة تمشي بلون البشرة الداكن
🚶 🏻 ‍ ♀ ️,woman_walking_light_skin_tone,امرأة تمشي بشرة فاتحة اللون
🚶 🏾 ‍ ♀ ️,woman_walking_medium-dark_skin_tone,امرأة تمشي بلون بشرة متوسط ​​داكن
🚶 🏼 ‍ ♀ ️,woman_walking_medium-light_skin_tone,امرأة تمشي بلون بشرة متوسط ​​فاتح
🚶 🏽 ‍ ♀ ️,woman_walking_medium_skin_tone,امرأة تمشي بلون بشرة متوسط
👳 ‍ ♀ ️,woman_wearing_turban,امرأة ترتدي عمامة
👳 🏿 ‍ ♀ ️,woman_wearing_turban_dark_skin_tone,امرأة ترتدي عمامة بشرة داكنة اللون
👳 🏻 ‍ ♀ ️,woman_wearing_turban_light_skin_tone,امرأة ترتدي عمامة بلون البشرة الفاتح
👳 🏾 ‍ ♀ ️,woman_wearing_turban_medium-dark_skin_tone,امرأة ترتدي عمامة بلون بشرة داكن متوسط
👳 🏼 ‍ ♀ ️,woman_wearing_turban_medium-light_skin_tone,امرأة ترتدي عمامة بلون بشرة فاتح متوسط
👳 🏽 ‍ ♀ ️,woman_wearing_turban_medium_skin_tone,امرأة ترتدي عمامة جلد متوسط ​​لهجة
👢,woman’s_boot,حذاء نسائي
👚,woman’s_clothes,ملابس نسائية
👒,woman’s_hat,قبعة المرأة
👡,woman’s_sandal,صندل نسائي
👯 ‍ ♀ ️,women_with_bunny_ears_partying,النساء مع آذان الأرنب الاحتفال
🤼 ‍ ♀ ️,women_wrestling,مصارعة النساء
🚺,women’s_room,غرفة النساء
🗺,world_map,خريطة العالم
😟,worried_face,وجه قلق
🎁,wrapped_gift,هدية ملفوفة
🔧,wrench,مفتاح الربط
✍,writing_hand,يد الكتابة
✍ 🏿,writing_hand_dark_skin_tone,كتابة اليد بلون البشرة الداكنة
✍ 🏻,writing_hand_light_skin_tone,كتابة اليد بلون البشرة الفاتح
✍ 🏾,writing_hand_medium-dark_skin_tone,يد كتابة بلون بشرة داكن متوسط
✍ 🏼,writing_hand_medium-light_skin_tone,كتابة اليد بلون بشرة متوسط ​​فاتح
✍ 🏽,writing_hand_medium_skin_tone,كتابة اليد بلون البشرة المتوسط
💛,yellow_heart,قلب أصفر
💴,yen_banknote,الأوراق النقدية الين
☯,yin_yang,يين يانغ
🤐,zipper-mouth_face,وجه سحاب الفم
💤,zzz,zzz
🇦 🇽,Åland_Islands,جزر آلاند
:‑\),Happy face or smiley,وجه سعيد أو مبتسم
:\),Happy face or smiley,وجه سعيد أو مبتسم
:-\],Happy face or smiley,وجه سعيد أو مبتسم
:\],Happy face or smiley,وجه سعيد أو مبتسم
:-3,Happy face smiley,وجه سعيد مبتسم
:3,Happy face smiley,وجه سعيد مبتسم
:->,Happy face smiley,وجه سعيد مبتسم
:>,Happy face smiley,وجه سعيد مبتسم
8-\),Happy face smiley,وجه سعيد مبتسم
:o\),Happy face smiley,وجه سعيد مبتسم
:-\},Happy face smiley,وجه سعيد مبتسم
:\},Happy face smiley,وجه سعيد مبتسم
:-\),Happy face smiley,وجه سعيد مبتسم
:c\),Happy face smiley,وجه سعيد مبتسم
:\^\),Happy face smiley,وجه سعيد مبتسم
=\],Happy face smiley,وجه سعيد مبتسم
=\),Happy face smiley,وجه سعيد مبتسم
:‑D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
:D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
8‑D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
8D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
X‑D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
XD,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
=D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
=3,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
B\^D,"Laughing, big grin or laugh with glasses",يضحك ، ابتسامة كبيرة أو تضحك مع النظارات
:-\)\),Very happy,سعيد جدا
:‑\(,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:-\(,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:\(,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:‑c,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:c,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:‑<,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:<,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:‑\[,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:\[,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:-\|\|,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
>:\[,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:\{,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:@,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
>:\(,"Frown, sad, andry or pouting",عبوس ، حزين ، أندري أو عابس
:'‑\(,Crying,بكاء
:'\(,Crying,بكاء
:'‑\),Tears of happiness,دموع الفرح
:'\),Tears of happiness,دموع الفرح
D‑':,Horror,رعب
D:<,Disgust,الاشمئزاز
D:,Sadness,حزن
D8,Great dismay,فزع كبير
D;,Great dismay,فزع كبير
D=,Great dismay,فزع كبير
DX,Great dismay,فزع كبير
:‑O,Surprise,مفاجأة
:O,Surprise,مفاجأة
:‑o,Surprise,مفاجأة
:o,Surprise,مفاجأة
:-0,Shock,صدمة
8‑0,Yawn,تثاءب
>:O,Yawn,تثاءب
:-\*,Kiss,قبلة
:\*,Kiss,قبلة
:X,Kiss,قبلة
;‑\),Wink or smirk,غمزة أو ابتسامة متكلفة
;\),Wink or smirk,غمزة أو ابتسامة متكلفة
\*-\),Wink or smirk,غمزة أو ابتسامة متكلفة
\*\),Wink or smirk,غمزة أو ابتسامة متكلفة
;‑\],Wink or smirk,غمزة أو ابتسامة متكلفة
;\],Wink or smirk,غمزة أو ابتسامة متكلفة
;\^\),Wink or smirk,غمزة أو ابتسامة متكلفة
":‑,",Wink or smirk,غمزة أو ابتسامة متكلفة
;D,Wink or smirk,غمزة أو ابتسامة متكلفة
:‑P,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
:P,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
X‑P,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
XP,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
:‑Þ,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
:Þ,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
:b,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
d:,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
=p,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
>:P,"Tongue sticking out, cheeky, playful or blowing a raspberry",اللسان بارز أو صفيق أو مرح أو ينفخ التوت
:‑/,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
:/,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
:-[.],"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
>:[(\\)],"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
>:/,"Skeptical, annoyed, undecided, uneasy or hesitant",متشكك ، منزعج ، متردد ، مضطرب أو متردد
